denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1849,Philadelphia,688.567,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1849,Charlotte,11.634,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1849,Dahlonega,21.588,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1849,New Orleans,215.000,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1850,Philadelphia,481.953,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1850,Charlotte,6.966,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1850,Dahlonega,8.382,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1850,New Orleans,14.000,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1851,Philadelphia,3.317.671,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1851,Charlotte,41.267,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1851,Dahlonega,9.882,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1851,New Orleans,290.000,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1852,Philadelphia,2.045.351,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1852,Charlotte,9.434,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1852,Dahlonega,6.360,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1852,New Orleans,140.000,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1853,Philadelphia,4.076.051,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1853,Charlotte,11.515,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1853,Dahlonega,6.583,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1853,New Orleans,290.000,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1854,Philadelphia,855.502,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1854,Dahlonega,2.935,
1 $ - Gold,Liberty Head,13.00,1.67,90Goldand10Copper,1854,San Francisco,14.632,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1854,Philadelphia,783.943,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1855,Philadelphia,758.269,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1855,Charlotte,9.803,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1855,Dahlonega,1.811,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1855,New Orleans,55.000,
1 $ - Gold,Small Indian Head,15.00,1.67,90Goldand10Copper,1856,San Francisco,24.600,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1856,Philadelphia,1.762.936,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1856,Dahlonega,1.460,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1857,Philadelphia,774.789,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1857,Charlotte,13.280,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1857,Dahlonega,3.533,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1857,San Francisco,10.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1858,Philadelphia,117.995,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1858,Dahlonega,3.477,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1858,San Francisco,10.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1859,Philadelphia,168.244,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1859,Charlotte,5.235,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1859,Dahlonega,4.952,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1859,San Francisco,15.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1860,Philadelphia,36.514,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1860,Dahlonega,1.566,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1860,San Francisco,13.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1861,Philadelphia,527.499,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1861,Dahlonega,0,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1862,Philadelphia,1.361.355,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1863,Philadelphia,6.200,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1864,Philadelphia,5.900,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1865,Philadelphia,3.700,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1866,Philadelphia,7.100,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1867,Philadelphia,5.200,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1868,Philadelphia,10.500,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1869,Philadelphia,5.900,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1870,Philadelphia,6.300,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1870,San Francisco,3.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1871,Philadelphia,3.900,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1872,Philadelphia,3.500,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1873,Philadelphia,125.100,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1874,Philadelphia,198.800,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1875,Philadelphia,400,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1876,Philadelphia,3.200,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1877,Philadelphia,3.900,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1878,Philadelphia,3.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1879,Philadelphia,3.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1880,Philadelphia,1.600,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1881,Philadelphia,7.620,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1882,Philadelphia,5.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1883,Philadelphia,10.800,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1884,Philadelphia,5.230,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1885,Philadelphia,11.156,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1886,Philadelphia,5.000,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1887,Philadelphia,7.500,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1888,Philadelphia,15.501,
1 $ - Gold,Large Indian Head,15.00,1.67,90Goldand10Copper,1889,Philadelphia,28.950,
