denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
2 $ 50,Liberty Cap - No stars,20.00,4.37,91+67Goldand8+33Copper,1796,Philadelphia,963,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1796,Philadelphia,432,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1797,Philadelphia,427,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1798,Philadelphia,1.094,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1802,Philadelphia,3.035,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1804,Philadelphia,3.327,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1805,Philadelphia,1.781,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1806,Philadelphia,1.616,
2 $ 50,Liberty Cap,20.00,4.37,91+67Goldand8+33Copper,1807,Philadelphia,6.812,
2 $ 50,Turban Head,20.00,4.37,91+67Goldand8+33Copper,1808,Philadelphia,2.710,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1821,Philadelphia,6.448,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1824,Philadelphia,2.600,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1825,Philadelphia,4.434,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1826,Philadelphia,760,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1827,Philadelphia,2.800,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1829,Philadelphia,3.403,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1830,Philadelphia,4.540,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1831,Philadelphia,4.520,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1832,Philadelphia,4.400,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1833,Philadelphia,4.160,
2 $ 50,Turban Head,18.50,4.37,91+67Goldand8+33Copper,1834,Philadelphia,4.000,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1834,Philadelphia,112.234,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1835,Philadelphia,131.402,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1836,Philadelphia,547.986,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1837,Philadelphia,45.080,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1838,Philadelphia,47.030,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1838,Charlotte,7.880,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1839,Philadelphia,27.021,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1839,Charlotte,18.140,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1839,Dahlonega,13.674,
2 $ 50,Liberty without Turban,18.20,4.18,89+92Goldand10+08Copper,1839,New Orleans,17.781,
2 $ 50,Coronet Head,18.00,4.18,90Goldand10Copper,1840,Philadelphia,18.859,
2 $ 50,Coronet Head,18.00,4.18,90Goldand10Copper,1840,Charlotte,12.822,
2 $ 50,Coronet Head,18.00,4.18,90Goldand10Copper,1840,Dahlonega,3.532,
