denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
2 ct.,,23.00,6.22,95Copper5TinandZinc,1864,Philadelphia,19.847.500,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1865,Philadelphia,13.640.000,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1866,Philadelphia,3.177.000,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1867,Philadelphia,2.938.750,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1868,Philadelphia,2.803.750,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1869,Philadelphia,1.546.000,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1870,Philadelphia,861.250,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1871,Philadelphia,721.250,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1872,Philadelphia,65.000,
2 ct.,,23.00,6.22,95Copper5TinandZinc,1873,Philadelphia,0,Only as Proof
