denomination,variety_name,diameter,weight,composition,year,mint_name,mintage,notes
5 $,Liberty Cap - Small eagle,25.00,8.75,91+67Goldand8+33Copper,1795,Philadelphia,8.707,
5 $,Liberty Cap - Small eagle,25.00,8.75,91+67Goldand8+33Copper,1796,Philadelphia,6.196,
5 $,Liberty Cap - Small eagle,25.00,8.75,91+67Goldand8+33Copper,1797,Philadelphia,3.609,
5 $,Liberty Cap - Small eagle,25.00,8.75,91+67Goldand8+33Copper,1798,Philadelphia,0,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1795,Philadelphia,0,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1796,Philadelphia,0,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1797,Philadelphia,0,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1798,Philadelphia,24.867,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1799,Philadelphia,7.451,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1800,Philadelphia,37.628,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1802,Philadelphia,53.176,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1803,Philadelphia,33.506,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1804,Philadelphia,30.475,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1805,Philadelphia,33.183,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1806,Philadelphia,64.093,
5 $,Liberty Cap - Heraldic eagle,25.00,8.75,91+67Goldand8+33Copper,1807,Philadelphia,32.488,
5 $,Turban Head - Capped draped bust,25.00,8.75,91+67Goldand8+33Copper,1807,Philadelphia,51.605,
